"IREC_LOGISTICAL_AREA","AREA","PROGRAM","CREEL_LOGISTICAL_AREA"
"Haida Gwaii","Area 1","Haida Gwaii","PFMA 1"
"Haida Gwaii","Area 101",NA,NA
"Prince Rupert","Area 103",NA,NA
"Central Coast","Area 107",NA,NA
"Port Hardy","Area 11","Johnstone Strait","Queen Charlotte Sound"
"Port Hardy","Area 12","Johnstone Strait","Johnstone Strait"
"Port Renfrew","Area 121","Renfrew/Swiftsure","Swiftsure Bank"
"Barkley","Area 123","Barkley Sound","Offshore Barkley"
"Tofino","Area 124","Clayoquot Sound","Offshore Clayoquot"
"Tahsis/Nootka","Area 125","Nootka Sound","Offshore Nootka"
"Kyuquot","Area 126","Kyuquot Sound","Offshore Kyuquot"
"Winter Harbour","Area 127","Quatsino Sound","Offshore Quatsino"
"Campbell River","Area 13","Georgia Strait","Campbell River"
"Campbell River","Area 14","Georgia Strait","Comox"
"Sunshine Coast","Area 15","Georgia Strait","Powell River"
"Sunshine Coast","Area 16","Georgia Strait","Sunshine Coast"
"Nanaimo","Area 17","Georgia Strait","Nanaimo"
"Nanaimo","Area 18","Georgia Strait","Gulf Islands"
"Victoria","Area 19",NA,NA
"Haida Gwaii","Area 2",NA,NA
"Victoria","Area 20","Juan de Fuca","Juan de Fuca"
"Port Renfrew","Area 21","Renfrew/Swiftsure","Nitinat"
"Barkley","Area 23",NA,NA
"Tahsis/Nootka","Area 25","Nootka Sound","Nootka Snd. / Esperanza Inlet"
"Kyuquot","Area 26","Kyuquot Sound","Kyuquot Sound"
"Winter Harbour","Area 27","Quatsino Sound","Quatsino Sound"
"Vancouver","Area 28","Georgia Strait","Howe Sound"
"Vancouver","Area 29","Georgia Strait","Vancouver"
"Prince Rupert","Area 3","Prince Rupert","PFMA 3"
"Prince Rupert","Area 4","Prince Rupert","PFMA 4"
"Central Coast","Area 5",NA,NA
"Central Coast","Area 6","Central Coast","PFMA 6"
"Central Coast","Area 7","Central Coast","PFMA 7"
"Central Coast","Area 8","Central Coast","PFMA 8"
"Central Coast","Area 9","Central Coast","PFMA 9"
"Haida Gwaii","Area 102",NA,NA
"Central Coast","Area 106",NA,NA
"Central Coast","Area 110",NA,NA
"Port Hardy","Area 111","Johnstone Strait","Offshore Queen Charlotte Sound"
"Haida Gwaii","Area 142",NA,NA
"Tofino","Area 24","Clayoquot Sound","Clayoquot Sound"
"Central Coast","Area 109",NA,NA
"Port Renfrew","Area 22",NA,NA
"Prince Rupert","Area 104",NA,NA
"Central Coast","Area 105",NA,NA
"Central Coast","Area 10",NA,NA
"Central Coast","Area 108",NA,NA
"Victoria","Area 19 (GS)","Georgia Strait","Sannich Inlet / Sannich"
"Victoria","Area 19 (JDF)","Juan de Fuca","Victoria"
"Barkley","Area 23 (Barkley)","Barkley Sound","Barkley Sound"
"Vancouver","Area 29 (Marine)",NA,NA
"Port Alberni","Area 23 (Alberni Canal)","Barkley Sound","Alberni Inlet"
"Haida Gwaii","Area 2W","Haida Gwaii","Haida Gwaii"
"Haida Gwaii","Area 2E","Haida Gwaii","Haida Gwaii"
"Lower Fraser River","Area 29 (In River)",NA,NA
"Prince Rupert","Area 130",NA,NA
"Victoria","Area 20 (East)","Juan de Fuca","Juan de Fuca"
"Port Renfrew","Area 20 (West)","Renfrew/Swiftsure","Juan de Fuca"
NA,"Area 13 SoG","Georgia Strait","Campbell River"
